Concepto,PROM
"CD DVDRW 8X PIONEER BLURAY SATA USB BLACK",1902020.56
"CD DVDRW 12X LG BLURAY SATA",850509.66
"CD DVD+-RW 24X LG SATA BLACK",186436.80
"CD DVD+-RW 24X SAMSUNG SATA BLACK",178623.06
"CD DVD+-RW8X LITE-ON EXT",99517.00
"CARTUCHO BROTHER MAGENTA LC60M",96880.00
"CD DVD+-RW 24X SAMSUNG SATA BLACK",96379.80
"CARTUCHO BROTHER NEGRO LC3019BK",96320.00
"CARTUCHO HP TRICOLOR CN691A #675",95616.00
"CINTA PARA IMPRESORA FULLMARK N880BK",95275.00
"CINTA PARA IMPRESORA FULLMARK N477BK",94760.00
"CARTUCHO ORINK/EPSON NEGRO T1351",94620.00
"CARTUCHO BROTHER CYAN LC105C",92960.00
"CARTUCHO HP TRICOLOR CC656A #901",87648.00
"CARTUCHO BROTHER AMARILLO LC3019Y",87360.00
"CARTUCHO HP TRICOLOR CH564H #122XL",87150.00
"CARTUCHO BROTHER AMARILLO LC105Y",86800.00
"CARTUCHO BROTHER MAGENTA LC105M",83440.00
"CARTUCHO BROTHER NEGRO LC109BK",83440.00
"CINTA PARA IMPRESORA FULLMARK N639BK",82915.00
"CARTUCHO BROTHER MAGENTA LC3019M",81760.00
"CARTUCHO ORINK/EPSON NEGRO T1381",79182.00
"CINTA PARA IMPRESORA FULLMARK N478BK",75705.00
"CARTUCHO HP TRICOLOR CH562H #122",73704.00
"CARTUCHO EPSON AMARILLO T63420",73360.00
"CINTA PARA IMPRESORA FULLMARK F737BK",73130.00
"CINTA PARA IMPRESORA FULLMARK N655BK",72100.00
"CINTA PARA IMPRESORA FULLMARK N179PE",68495.00
"CINTA PARA IMPRESORA FULLMARK N533BK",68495.00
"CINTA PARA IMPRESORA FULLMARK N636BK",66435.00
"CARTUCHO ORINK/EPSON NEGRO T1361",64740.00
"CARTUCHO HP TRICOLOR F6V28AL #664",63744.00
"CINTA PARA IMPRESORA FULLMARK N617BK",63345.00
"CARTUCHO BROTHER CYAN LC3019C",55440.00
"COMPITT KIT KLEEN SCREEN",42630.00
"COMPITT KIT KCEL",33830.00
"CANDADO PARA NOTEBOOK NISUTA NS-PRONO",32930.00
"CONTACT TRONIX ECO x 419ml.",26460.00
